,title,artist,url,participant,playlist_type
50,Misty,Johnny Mathis,youtube.com/watch?v=Ytb_T7eTAKI&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=51,BFOR,energizing
51,Where Have All The Flowers Gone? (Remastered),The Kingston Trio,youtube.com/watch?v=LkTXcwc3zvk&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=52,BFOR,energizing
52,Mariah,The Kingston Trio,youtube.com/watch?v=qMCothD-qEM&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=53,BFOR,energizing
53,You Make Me Feel so Young,Rosemary Clooney,youtube.com/watch?v=z8T1NVDNMZY&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=54,BFOR,energizing
54,As Time Goes By,Dooley Wilson,youtube.com/watch?v=AlDuNqWKDak&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=55,BFOR,energizing
55,Manhattan Transfer - A Nightingale Sang In Berkley Square,AniasAndDemari,youtube.com/watch?v=Ofg8vUDGWQI&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=56,BFOR,energizing
56,More (Theme from Mondo Cane) - Seven Fantastic Artist! (Lyrics) (1962) 1080p,James Randall,youtube.com/watch?v=z6uAZffIWd0&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=57,BFOR,energizing
57,I Left My Heart in San Francisco,Tony Bennett,youtube.com/watch?v=Ysw4svDmcxc&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=58,BFOR,energizing
58,Leaving on a Jet Plane,"Peter, Paul & Mary",youtube.com/watch?v=rr1sTloviTQ&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=59,BFOR,energizing
59,"Puff, the Magic Dragon","Peter, Paul & Mary",youtube.com/watch?v=s26e_86-K0k&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=60,BFOR,energizing
60,Where Have All the Flowers Gone,"Peter, Paul & Mary",youtube.com/watch?v=jb2GiMSXJsg&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=61,BFOR,energizing
61,Africa,TOTO,youtube.com/watch?v=y8Nla-98CRY&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=62,BFOR,energizing
62,Under Pressure (Remastered 2011),Queen,youtube.com/watch?v=LnDwBrm_jsY&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=63,BFOR,energizing
63,The Shadow Of Your Smile,Barbra Streisand,youtube.com/watch?v=j5BpQBTwFlg&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=64,BFOR,energizing
64,You Don't Bring Me Flowers,Neil Diamond,youtube.com/watch?v=wAgdMAXmJio&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=65,BFOR,energizing
65,'S Wonderful,Ella Fitzgerald,youtube.com/watch?v=oHWMG3VeETc&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=66,BFOR,energizing
66,My Old Flame,Billie Holiday,youtube.com/watch?v=SwIa7F29xZU&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=67,BFOR,energizing
67,I'll Be Seeing You (Take 2),Billie Holiday,youtube.com/watch?v=UShu_ibeSlg&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=68,BFOR,energizing
68,Isn't This A Lovely Day?,Diana Krall,youtube.com/watch?v=85v1DGh5smY&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=69,BFOR,energizing
69,The Lady Of Shalott,Loreena McKennitt,youtube.com/watch?v=DgaEd5hIxzI&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=70,BFOR,energizing
70,Bonny Portmore,Loreena McKennitt,youtube.com/watch?v=EiP0cZ2_4Y4&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=71,BFOR,energizing
71,I've Got You Under My Skin (Remastered 1998),Frank Sinatra,youtube.com/watch?v=xz5W5bKLj_4&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=72,BFOR,energizing
72,Summer Wind (2008 Remastered),Frank Sinatra,youtube.com/watch?v=8DopzOCeKJc&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=73,BFOR,energizing
73,"Send in the Clowns (From ""A Little Night Music"")",Judy Collins,youtube.com/watch?v=G8Di9Wzocwc&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=74,BFOR,energizing
74,Bridge Over Troubled Water,Simon & Garfunkel,youtube.com/watch?v=nvF5imxSaLI&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=75,BFOR,energizing
75,Cecilia,Simon & Garfunkel,youtube.com/watch?v=voGvFWXPYx8&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=76,BFOR,energizing
76,Misty,Johnny Mathis,youtube.com/watch?v=Ytb_T7eTAKI&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=77,BFOR,energizing
77,Where Have All The Flowers Gone? (Remastered),The Kingston Trio,youtube.com/watch?v=LkTXcwc3zvk&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=78,BFOR,energizing
78,Mariah,The Kingston Trio,youtube.com/watch?v=qMCothD-qEM&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=79,BFOR,energizing
79,You Make Me Feel so Young,Rosemary Clooney,youtube.com/watch?v=z8T1NVDNMZY&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=80,BFOR,energizing
80,"Island In the Sun (From ""Island In the Sun"")",Harry Belafonte,youtube.com/watch?v=cAiBfyVC4Rg&list=PLZEl0b5BNrnHW-JJFWpoAnRlPgY-70pp-&index=81,BFOR,energizing
0,As Time Goes By,Dooley Wilson,youtube.com/watch?v=AlDuNqWKDak&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=1,BFOR,relaxing
1,Manhattan Transfer - A Nightingale Sang In Berkley Square,AniasAndDemari,youtube.com/watch?v=Ofg8vUDGWQI&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=2,BFOR,relaxing
2,More (Theme from Mondo Cane) - Seven Fantastic Artist! (Lyrics) (1962) 1080p,James Randall,youtube.com/watch?v=z6uAZffIWd0&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=3,BFOR,relaxing
3,I Left My Heart in San Francisco,Tony Bennett,youtube.com/watch?v=Ysw4svDmcxc&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=4,BFOR,relaxing
4,Leaving on a Jet Plane,"Peter, Paul & Mary",youtube.com/watch?v=rr1sTloviTQ&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=5,BFOR,relaxing
5,"Puff, the Magic Dragon","Peter, Paul & Mary",youtube.com/watch?v=s26e_86-K0k&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=6,BFOR,relaxing
6,Where Have All the Flowers Gone,"Peter, Paul & Mary",youtube.com/watch?v=jb2GiMSXJsg&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=7,BFOR,relaxing
7,Africa,TOTO,youtube.com/watch?v=y8Nla-98CRY&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=8,BFOR,relaxing
8,The Shadow Of Your Smile,Barbra Streisand,youtube.com/watch?v=j5BpQBTwFlg&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=9,BFOR,relaxing
9,You Don't Bring Me Flowers,Neil Diamond,youtube.com/watch?v=wAgdMAXmJio&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=10,BFOR,relaxing
10,'S Wonderful,Ella Fitzgerald,youtube.com/watch?v=oHWMG3VeETc&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=11,BFOR,relaxing
11,My Old Flame,Billie Holiday,youtube.com/watch?v=SwIa7F29xZU&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=12,BFOR,relaxing
12,I'll Be Seeing You (Take 2),Billie Holiday,youtube.com/watch?v=UShu_ibeSlg&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=13,BFOR,relaxing
13,Isn't This A Lovely Day?,Diana Krall,youtube.com/watch?v=85v1DGh5smY&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=14,BFOR,relaxing
14,The Lady Of Shalott,Loreena McKennitt,youtube.com/watch?v=DgaEd5hIxzI&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=15,BFOR,relaxing
15,Bonny Portmore,Loreena McKennitt,youtube.com/watch?v=EiP0cZ2_4Y4&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=16,BFOR,relaxing
16,I've Got You Under My Skin (Remastered 1998),Frank Sinatra,youtube.com/watch?v=xz5W5bKLj_4&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=17,BFOR,relaxing
17,Summer Wind (2008 Remastered),Frank Sinatra,youtube.com/watch?v=8DopzOCeKJc&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=18,BFOR,relaxing
18,"Send in the Clowns (From ""A Little Night Music"")",Judy Collins,youtube.com/watch?v=G8Di9Wzocwc&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=19,BFOR,relaxing
19,Bridge Over Troubled Water,Simon & Garfunkel,youtube.com/watch?v=nvF5imxSaLI&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=20,BFOR,relaxing
20,Misty,Johnny Mathis,youtube.com/watch?v=Ytb_T7eTAKI&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=21,BFOR,relaxing
21,Where Have All The Flowers Gone? (Remastered),The Kingston Trio,youtube.com/watch?v=LkTXcwc3zvk&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=22,BFOR,relaxing
22,Mariah,The Kingston Trio,youtube.com/watch?v=qMCothD-qEM&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=23,BFOR,relaxing
23,You Make Me Feel so Young,Rosemary Clooney,youtube.com/watch?v=z8T1NVDNMZY&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=24,BFOR,relaxing
24,More (Theme from Mondo Cane) - Andy Williams (Lyrics in Description),singalong,youtube.com/watch?v=BD7Zeul2Otc&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=25,BFOR,relaxing
25,"The Last Time I Saw Paris (from ""Till the Clouds Roll By"") (2006 Remaster)",Dinah Shore,youtube.com/watch?v=pSxY0wG9a10&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=26,BFOR,relaxing
26,Embraceable You (2006 Remastered Version),The Manhattan Transfer,youtube.com/watch?v=mZ4BnCuUIgM&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=27,BFOR,relaxing
27,Shanghai Breezes,John Denver,youtube.com/watch?v=90B97dk_6O8&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=28,BFOR,relaxing
28,Little Girl Blue (Single Edit) (2017 - Remaster),Nina Simone,youtube.com/watch?v=ZLMwxTXhf5I&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=29,BFOR,relaxing
29,Over The Rainbow,Judy Garland,youtube.com/watch?v=XW5nIlIfR5s&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=30,BFOR,relaxing
30,Good Morning Heartache,Billie Holiday,youtube.com/watch?v=vROdXsQhsnQ&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=31,BFOR,relaxing
31,Night And Day,Frank Sinatra,youtube.com/watch?v=IHwFGG9knmg&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=32,BFOR,relaxing
32,Chances Are,Johnny Mathis,youtube.com/watch?v=llqc9LKcDj0&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=33,BFOR,relaxing
33,The Very Thought Of You,Nat King Cole,youtube.com/watch?v=HcRQiNHrsoQ&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=34,BFOR,relaxing
34,Cry Me A River,Julie London,youtube.com/watch?v=gCGNYJOrebA&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=35,BFOR,relaxing
35,Mona Lisa,Nat King Cole,youtube.com/watch?v=cR7EP6sXWFg&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=36,BFOR,relaxing
36,Old Cape Cod,Patti Page,youtube.com/watch?v=a34kIKVideI&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=37,BFOR,relaxing
37,Who Wants To Live Forever (Remastered 2011),Queen,youtube.com/watch?v=Cxn_5Barsk0&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=38,BFOR,relaxing
38,May You Always,The McGuire Sisters,youtube.com/watch?v=kmZdBNaXI5k&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=39,BFOR,relaxing
39,Wedding Song (There Is Love),Noel Paul Stookey,youtube.com/watch?v=DE-CCRz-_CM&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=40,BFOR,relaxing
40,Greensleeves,Loreena McKennitt,youtube.com/watch?v=LOyucunA-UA&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=41,BFOR,relaxing
41,How Are Things In Glocca Morra?,Julie Andrews,youtube.com/watch?v=Mg1CNzN1Ttw&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=42,BFOR,relaxing
42,When I Fall in Love,Doris Day,youtube.com/watch?v=ayz8aDOCw0A&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=43,BFOR,relaxing
43,I Love Paris,Ella Fitzgerald,youtube.com/watch?v=37D5q9K2o_Y&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=44,BFOR,relaxing
44,Someone To Watch Over Me,Kristin Chenoweth,youtube.com/watch?v=ahooTus0Wfo&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=45,BFOR,relaxing
45,Waitin' for My Dearie,Anne Biggs,youtube.com/watch?v=OB-kLIMSTLw&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=46,BFOR,relaxing
46,Blue Moon,Julie London,youtube.com/watch?v=wBLjGE8Wl1M&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=47,BFOR,relaxing
47,"Island In the Sun (From ""Island In the Sun"")",Harry Belafonte,youtube.com/watch?v=cAiBfyVC4Rg&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=48,BFOR,relaxing
48,It's Alright With Me,"Harry Connick, Jr.",youtube.com/watch?v=JmoCTjdzvyc&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=49,BFOR,relaxing
49,Time After Time,Margaret Whiting,youtube.com/watch?v=8v_55Kd7obY&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=50,BFOR,relaxing
50,One for My Baby (And One More for the Road),Fred Astaire,youtube.com/watch?v=1NPEDbofjGA&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=51,BFOR,relaxing
51,The Boxer,Simon & Garfunkel,youtube.com/watch?v=C1VUWDcp5Sg&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=52,BFOR,relaxing
52,Whistling Gypsy ((Live)),The Limeliters,youtube.com/watch?v=-ONEKNFitOk&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=53,BFOR,relaxing
53,One For My Baby (1958 Mono Mix),Frank Sinatra,youtube.com/watch?v=7caHIWgInM0&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=54,BFOR,relaxing
54,Three Coins in the Fountain (Remastered),The Four Aces,youtube.com/watch?v=lPdLHJGsS74&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=55,BFOR,relaxing
55,"Speak Softly Love (Love Theme from ""The Godfather"")",Andy Williams,youtube.com/watch?v=3l3xsKBPqQw&list=PLZEl0b5BNrnHx4DO2pOUAsohHEFlH5vJb&index=56,BFOR,relaxing
0,Moondance (2013 Remaster),Van Morrison,youtube.com/watch?v=7kfYOGndVfU&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=1,AEHR,relaxing
1,Paul Simon - You Can Call Me Al (Official Video),Paul Simon,youtube.com/watch?v=uq-gYOrU8bA&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=2,AEHR,relaxing
2,Piano Man,Billy Joel,youtube.com/watch?v=LLbew85exp0&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=3,AEHR,relaxing
3,Penny Lane (Remastered 2015),The Beatles,youtube.com/watch?v=z7syIxQCquo&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=4,AEHR,relaxing
4,"Suite for Flute and Jazz Piano Trio, by Claude Bolling.",Rodney Leinberger,youtube.com/watch?v=3y6CdPDB-_k&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=5,AEHR,relaxing
5,"Petrushka, First Tableau: The Shrovetide Fair (Remastered)",Igor Stravinsky,youtube.com/watch?v=P-0p1rFCv5U&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=6,AEHR,relaxing
6,The Sorcerer's Apprentice,Leopold Stokowski,youtube.com/watch?v=I5oGxBDz1Lc&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=7,AEHR,relaxing
7,The Water Is Wide,Bill Mize,youtube.com/watch?v=BSHCGEOMdW0&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=8,AEHR,relaxing
8,I Am A Man Of Constant Sorrow (Radio Edit),Soggy Bottom Boys,youtube.com/watch?v=tvtf0aaXt2k&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=9,AEHR,relaxing
9,Ain't No Sunshine,Bill Withers,youtube.com/watch?v=5PeyzXvvdmw&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=10,AEHR,relaxing
10,Isn't She Lovely,Stevie Wonder,youtube.com/watch?v=7YGc6RMOYF8&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=11,AEHR,relaxing
11,Black Magic Woman,Santana,youtube.com/watch?v=UyvVMjx-sro&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=12,AEHR,relaxing
12,Evil Ways,Santana,youtube.com/watch?v=HPmPFY9PcCs&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=13,AEHR,relaxing
13,Samba Pa Ti,Santana,youtube.com/watch?v=timZoOs9ozo&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=14,AEHR,relaxing
14,Stairway to Heaven (Remaster),Led Zeppelin,youtube.com/watch?v=iXQUu5Dti4g&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=15,AEHR,relaxing
15,Bohemian Rhapsody (Digital Remaster),Queen,youtube.com/watch?v=PSthoQzOR98&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=16,AEHR,relaxing
16,Ike & Tina Turner - Come Together | Cruella OST,Original Soundtrack,youtube.com/watch?v=jkrYv_vV8LY&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=17,AEHR,relaxing
17,Nina Simone - Feeling Good | Cruella OST,Original Soundtrack,youtube.com/watch?v=ifeamYiw_64&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=18,AEHR,relaxing
18,Ike & Tina Turner - Whole Lotta Love | Cruella OST,Original Soundtrack,youtube.com/watch?v=WV7v0H6PnHM&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=19,AEHR,relaxing
19,Papa Was A Rollin' Stone,The Temptations,youtube.com/watch?v=71l85z2bXAs&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=20,AEHR,relaxing
20,Nowhere Man (Remastered 2009),The Beatles,youtube.com/watch?v=8scSwaKbE64&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=21,AEHR,relaxing
21,When I'm Sixty Four (Remastered 2009),The Beatles,youtube.com/watch?v=HCTunqv1Xt4&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=22,AEHR,relaxing
22,Cat Stevens - Oh Very Young,mrinkel,youtube.com/watch?v=bP6B9HttRI8&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=23,AEHR,relaxing
23,"Boris Plotnikov - ""It Don't Mean A Thing"" - SEYDEL",C.A. SEYDEL SÖHNE,youtube.com/watch?v=GCTx4GL_LM0&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=24,AEHR,relaxing
24,Black Water (2006 Remaster),The Doobie Brothers,youtube.com/watch?v=Hic11Prt2Wk&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=25,AEHR,relaxing
25,Chain of Fools,Aretha Franklin,youtube.com/watch?v=o0s5CP2kXsc&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=26,AEHR,relaxing
26,The Bare Necessities,Phil Harris,youtube.com/watch?v=sQq-Ffh6gfo&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=27,AEHR,relaxing
27,[22] Dance of the Reed Flutes OST,rumba38,youtube.com/watch?v=KqpeutAQAzM&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=28,AEHR,relaxing
28,Tupelo Honey,Van Morrison,youtube.com/watch?v=QGkQ4mPiyoU&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=29,AEHR,relaxing
29,Brown Eyed Girl,Van Morrison,youtube.com/watch?v=yZ-VUnIehi8&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=30,AEHR,relaxing
30,Besame Mucho,Dave Brubeck,youtube.com/watch?v=TvtaSiYAjaQ&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=31,AEHR,relaxing
31,Autumn Leaves,Cannonball Adderley,youtube.com/watch?v=CpB7-8SGlJ0&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=32,AEHR,relaxing
32,The Girl From Ipanema,Stan Getz,youtube.com/watch?v=N-TKOh0zsvU&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=33,AEHR,relaxing
33,Ol' MacDonald,Big Bad Voodoo Daddy,youtube.com/watch?v=r2OUqyToM2k&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=34,AEHR,relaxing
34,Stand by Me,Ben E. King,youtube.com/watch?v=b-D5yAAXYng&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=35,AEHR,relaxing
35,"Baby, It's Cold Outside",John Legend,youtube.com/watch?v=3OjrwGh1w-k&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=36,AEHR,relaxing
36,Everybody's Talkin',Various Artists,youtube.com/watch?v=FPqKwLYk460&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=37,AEHR,relaxing
37,"Pictures at an Exhibition, M. A 24: Promenade I",Philharmonia Orchestra,youtube.com/watch?v=Dxa9QrTvmMY&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=38,AEHR,relaxing
38,B. B. King - The Thrill Is Gone (Live at Montreux 1993) | Stages,Mercury Blue,youtube.com/watch?v=4fk2prKnYnI&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=39,AEHR,relaxing
39,Proud Mary,Ike & Tina Turner,youtube.com/watch?v=0lfT9TWAaMY&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=40,AEHR,relaxing
40,I Say a Little Prayer,Aretha Franklin,youtube.com/watch?v=2t5VNI0XlwY&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=41,AEHR,relaxing
41,Come Together (Remastered 2009),The Beatles,youtube.com/watch?v=oolpPmuK2I8&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=42,AEHR,relaxing
42,Another Saturday Night,Sam Cooke,youtube.com/watch?v=8N1qQHzh6-A&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=43,AEHR,relaxing
43,Take Me to the River (2005 Remaster),Talking Heads,youtube.com/watch?v=v4azbl96BJY&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=44,AEHR,relaxing
44,Down To The River To Pray,Alison Krauss,youtube.com/watch?v=flcrUnoAwVk&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=45,AEHR,relaxing
45,I'll Fly Away,Gillian Welch,youtube.com/watch?v=lFamN-oXRMQ&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=46,AEHR,relaxing
46,The Big Rock Candy Mountain,Harry McClintock with Guitar,youtube.com/watch?v=E6F0IhdaaWI&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=47,AEHR,relaxing
47,[Sittin' On] the Dock of the Bay,Otis Redding,youtube.com/watch?v=Zu5chXCp1Ag&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=48,AEHR,relaxing
48,Stuck In The Middle With You,Stealers Wheel,youtube.com/watch?v=ln7Vn_WKkWU&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=49,AEHR,relaxing
49,Son of a Preacher Man,Dusty Springfield,youtube.com/watch?v=ZSEKX8GAEYY&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=50,AEHR,relaxing
50,Like a Prayer,Madonna,youtube.com/watch?v=ilottRbDnGY&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=51,AEHR,relaxing
51,Sugaree,Jerry Garcia,youtube.com/watch?v=sxF9UJ-Rm0E&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=52,AEHR,relaxing
52,"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett,youtube.com/watch?v=Ot3JJ0wv2G0&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=53,AEHR,relaxing
53,Why Can't We Be Friends,War,youtube.com/watch?v=OHmmjnEdtx8&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=54,AEHR,relaxing
54,Coconut,Harry Nilsson,youtube.com/watch?v=pPym7Az7Heo&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=55,AEHR,relaxing
55,Colour My World (2002 Remaster),Chicago Band,youtube.com/watch?v=cWkXmx-0phc&list=PLZEl0b5BNrnFqqJ1TY_9SxEHkG7JohPIM&index=56,AEHR,relaxing
