,title,artist,url,participant,playlist_type
0,Take from Me (feat. Roxie Ray),DojoCuts,youtube.com/watch?v=14XjtcpjKAw&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=1,EKAS,energizing
1,My Dear,RubyVelleSoulphonics,youtube.com/watch?v=JklThOWxfNo&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=2,EKAS,energizing
2,Live from Daryl's house episode 57 with Rumer - Be thankful for what you got,drummerseb,youtube.com/watch?v=-W8Jdh9vjtQ&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=3,EKAS,energizing
3,Return of the Mack,Mark Morrison,youtube.com/watch?v=1ZfjB5P7RS0&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=4,EKAS,energizing
4,Flow with It (You Got Me Feeling Like),St Paul and the Broken Bones,youtube.com/watch?v=WyW4iZ7K774&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=5,EKAS,energizing
5,Like a Stone,Audioslave,youtube.com/watch?v=C6uqTWHzHvo&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=6,EKAS,energizing
6,I Am the Highway,Audioslave,youtube.com/watch?v=9ZDAYg196x8&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=7,EKAS,energizing
7,Who You Are,Dada,youtube.com/watch?v=sA2MKVd5QcQ&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=8,EKAS,energizing
8,Surround,Dada,youtube.com/watch?v=y7rCMcK1-wk&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=9,EKAS,energizing
9,Dorina,Dada,youtube.com/watch?v=IYnpgnIiprs&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=10,EKAS,energizing
10,Easy To Come Home (feat. Roxie Ray),DojoCuts,youtube.com/watch?v=9t-anJAUfS0&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=11,EKAS,energizing
11,Would? (2022 Remaster),Alice In Chains,youtube.com/watch?v=4L56DPmFl8w&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=12,EKAS,energizing
12,Even Flow,Pearl Jam,youtube.com/watch?v=u7T2OR-O2Vk&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=13,EKAS,energizing
13,skeletons,Easy Life,youtube.com/watch?v=gaBnuJA4AUw&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=14,EKAS,energizing
